question,answer
What is Spendly?,"Spendly (also known as SmartExpense AI) is a premium, intelligent, offline-first personal finance tracker powered by Google Gemini AI & Supabase."
What tech stack does Spendly use?,"Spendly uses React Native and Expo with TypeScript for the frontend, SQLite for local storage, and Supabase for cloud database sync, storage, and serverless Edge Functions."
How does the Gemini-powered OCR Scanner work?,"Users capture a photo of a physical receipt, and Google Gemini AI extracts the merchant name, date, total amount, taxes, payment method, and individual line items with high precision."
What is UPI Screenshot Auto-Detection?,"Spendly automatically parses transaction confirmation screenshots from Google Pay, PhonePe, and Paytm, extracting the payment details and logging them as transactions."
How does the AI Category Classifier work?,"The AI maps merchant names to spending categories (e.g. Starbucks to Food, Walmart to Grocery) instantly using heuristic analyses."
Is Spendly an offline-first app?,"Yes. All transactions, settings, and budgets are saved locally in an SQLite cache, allowing full operation without internet. Data syncs with Supabase automatically when online."
What spending categories are supported by Spendly?,"Food, Grocery, Travel, Fuel, Shopping, Entertainment, Bills, Health, Rent, EMI, Education, and Other."
How does the AI Chatbot Assistant work?,"It is a RAG (Retrieval-Augmented Generation) assistant that answers queries using your uploaded files (PDFs, DOCX, CSV, Excel, TXT, MD) and Google's gemini-2.5-flash model."
What file formats does the AI Assistant support?,"PDF (.pdf), Word (.docx), Excel (.xlsx), CSV (.csv), plain text (.txt), and Markdown (.md)."
What is the rate limit for the AI Chatbot?,"To prevent abuse, the chat assistant is limited to 10 messages per minute and 50,000 total daily tokens per user."
Why does the chatbot say it cannot find information?,"The chatbot uses a strict context constraint. If the answer is not present in your uploaded documents, it responds with: ""I'm sorry, I cannot find that information in your uploaded documents."""
How do I upload files to the Knowledge Base?,"Navigate to the Knowledge Base tab in the chat dashboard, click the upload button, and select any supported document (up to 10MB)."
How do I delete uploaded documents?,"In the Knowledge Base tab, click the trash icon next to the document name. This deletes it from Supabase Storage and clears all corresponding vector chunks."
What embedding model does the RAG system use?,"The ingestion pipeline uses Google's ""gemini-embedding-001"" model to generate 768-dimension vector representations of document chunks."
What database tables store chat and document metadata?,"The tables are public.documents, public.document_chunks, public.chat_conversations, public.chat_messages, and public.chat_feedback."
How does the app handle multiple versions of the same file?,"If you upload a file with the same name, the ingestion function increments the version number, deletes the older chunks, and replaces them with the new ones."
Does the chatbot support message feedback?,"Yes. You can tap thumbs up/down on responses. Feedback comments and status are stored in public.chat_feedback to improve accuracy."
What is the maximum file size for document uploads?,"The maximum supported file size for any document uploaded to the Knowledge Base is 10MB."
Does currency conversion work offline?,"Yes. Exchange rates are cached locally in SQLite settings. You can log transactions in foreign currencies, and Spendly converts them based on the last synced rate."
How is user authentication handled?,"Authentication is securely managed by Supabase Auth using email and password, generating JWTs to authorize database and Edge Function requests."
What happens to my chat history if I delete a conversation?,"Deleting a conversation deletes the thread metadata from chat_conversations and cascades to delete all associated messages and feedback logs."
How are documents split for vector indexing?,"Documents are split into semantic chunks with a sliding window, keeping section headers as metadata to improve retrieval context."
Does Spendly require a credit card or payment setup?,"No. Spendly is completely free to use, though AI features are subject to server-side token rate limits."
Can I view my monthly spending in charts?,"Yes. The Analytics tab provides interactive bar charts and pie charts mapping your expenses by month and by category."
How do I set a budget in Spendly?,"You can open the budget modal to define monthly category limits. The app tracks your spending against these limits and displays warning indicators when close to the cap."
Does the app support dark mode?,"Yes. Spendly features a premium visual design supporting automatic light and dark mode themes based on device preferences."
