question,answer,
What plans do Lauki Phones offer?,"Prepaid, postpaid, family, enterprise, and data-only plans. Each tier defines fixed data limits, voice allowances, roaming eligibility, renewal rules, and addon compatibility.",
How do I activate a new SIM?,"Insert the SIM, complete KYC with government-issued ID, verify phone number ownership, and restart the device. Network registration finishes once identity and add address checks clear.",
How long does activation take?,Activation completes within 30 minutes in most regions. Delays occur only when KYC verification needs manual review or when the device fails to register on a supported network.,
Does Lauki Phones support eSIM?,"Supported on devices that follow GSMA eSIM standards. Provisioning occurs through the Lauki Phones portal, which issues a single-use QR profile tied to the account.",
How do I switch from physical SIM to eSIM?,"Authenticate in the portal, request conversion, validate identity, and scan the generated QR on the device. The physical SIM deactivates immediately after profile installation.",
How do I check my data balance?,"The app dashboard shows real-time usage, daily consumption, and projected depletion. The USSD balance code provides a fallback when mobile data is unavailable.",
How do I upgrade my plan?,"Select an eligible higher-tier plan in the app. System recalculates prorated charges, locks the new plan for the next billing cycle, and adjusts data and voice limits at cycle reset.",
What is the billing cycle for postpaid?,"Billing begins on the customerâ€™s activation date and repeats every 30 days. Overages, roaming usage, and addons reflect in the next invoice with itemized entries.",
How do I pay my bill?,"Supported methods include UPI, credit/debit cards, net-banking, and autopay. Autopay triggers on invoice generation to avoid service interruption for overdue accounts.",
Are international roaming packs available?,"Roaming packs cover APAC, EU, Middle East, and Americas. Each pack specifies data caps, voice allowances, validity periods, and country-specific restrictions.",
How do I activate international roaming?,"Purchase a region-specific roaming pack and enable roaming in device settings. System pushes roaming credentials to the device, usually within 10 minutes.",
Do Lauki Phones throttle speeds after data limits?,"Yes. Once the planâ€™s fair-usage data limit is exceeded, speeds drop to the published throttle rate. Full speeds resume upon the next billing cycle or with a data add-on.",
Can I share data with family members?,Family plans allow a single data pool managed by the primary account holder. Allocation can be set per member or left open-ended.,
How do I report network issues?,"File a ticket in the app specifying location, timestamps, and issue type. The diagnostic engine runs automated checks before routing to the technical team.",
What should I do if my SIM is lost?,Block the SIM through the account portal to disable all network access. Request a replacement after verifying identity to prevent unauthorized usage.,
Is SIM replacement chargeable?,"Yes. Replacement fees cover SIM provisioning, KYC validation, and backend reprofiling. Charges differ by region but are clearly stated at request time.",
Does Lauki Phones support VoLTE?,VoLTE is enabled for devices certified on Lauki Phonesâ€™ IMS network. High-definition calling activates automatically when the device is set to 4G/LTE.,
Does Lauki Phones support WiFi Calling?,"Supported for most current smartphones. Calls route through secure IMS tunnels when cellular coverage is weak, maintaining call quality and reliability.",
How do I enable WiFi Calling?,"Enable WiFi Calling in device network settings and connect to a stable WiFi network. The device registers with the IMS system, indicated by a specific icon.",
How do I transfer my number from another carrier?,"Submit a porting request using the port code issued by the current carrier. Lauki Phones validates identity, initiates number transfer, and notifies on completion.",
How long does porting take?,"Porting completes within 3â€“5 working days. During the final transfer window, short downtime occurs while routing tables update across carriers.",
Can I pause my service temporarily?,Temporary suspension is available for up to 90 days. Suspended accounts retain the number but lose active services until reactivation.,
How do I change my registered address?,"Upload updated address proof, complete digital verification, and wait for backend validation. Address changes update billing and service records.",
Are corporate discounts available?,"Yes. Enterprise accounts receive volume-based discounts, pooled data options, centralized billing, and SLA-bound support.",
How do I get itemized call and data usage?,"Download the usage statement from the billing dashboard. The report lists timestamps, duration, data sessions, and roaming events, and cost attribution.",
